registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs),make,model
2012.0,Third Party insurance,Diesel,5.0,80000.0,Fourth & Above Owner,Manual,,22.07,1199.0,73.9,,2.0,Volkswagen,Polo
2019.0,Third Party insurance,Diesel,5.0,80000.0,Second Owner,Manual,,24.3,1248.0,88.5,,7.4,Maruti,Vitara
2009.0,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,17.92,1086.0,62.1,,1.5,Hyundai,Santro
2016.0,Third Party insurance,Diesel,5.0,30000.0,First Owner,Manual,,26.59,1248.0,74.0,,5.2,Maruti,Swift
2010.0,Third Party insurance,Petrol,5.0,80000.0,Third Owner,Manual,,20.36,1197.0,78.9,,1.7,Hyundai,i10
2021.0,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,17.52,1197.0,81.86,,7.1,Hyundai,Venue
2021.0,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,18.97,999.0,108.62,,9.5,Skoda,Rapid
2013.0,Third Party insurance,Diesel,5.0,70000.0,First Owner,Manual,,20.0,1399.0,68.05,,2.4,Ford,Figo
2021.0,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,18.97,999.0,108.62,,9.3,Skoda,Rapid
2022.0,Third Party insurance,Diesel,7.0,20000.0,First Owner,Manual,,16.56,1956.0,167.67,,19.22,MG,Hector
2013.0,Third Party insurance,Petrol,5.0,50000.0,Second Owner,Manual,,21.1,814.0,55.2,,1.5,Hyundai,EON
2015.0,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,18.9,1197.0,82.0,,3.8,Hyundai,Grand
2021.0,Third Party insurance,Petrol,5.0,30000.0,First Owner,Manual,,20.09,1199.0,86.63,,5.9,Tata,Punch
2016.0,Third Party insurance,Diesel,5.0,150000.0,First Owner,Manual,,20.14,1498.0,88.0,,4.0,Volkswagen,Polo
2013.0,Third Party insurance,Diesel,5.0,40000.0,First Owner,Manual,,23.59,1364.0,67.06,,3.0,Toyota,Etios
2017.0,Third Party insurance,Diesel,5.0,120000.0,First Owner,Manual,,19.87,1461.0,83.8,,5.0,Renault,Duster
2015.0,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,22.74,796.0,47.3,,2.1,Maruti,Alto
2009.0,Third Party insurance,Petrol,5.0,90000.0,Second Owner,Manual,,18.9,998.0,67.1,,1.0,Maruti,Wagon
2015.0,Third Party insurance,Diesel,7.0,50000.0,First Owner,Manual,,16.0,2179.0,140.0,,9.0,Mahindra,XUV500
2020.0,Third Party insurance,Diesel,5.0,70000.0,First Owner,Manual,,20.8,1493.0,113.43,,13.49,Kia,Seltos
2019.0,Third Party insurance,Diesel,5.0,50000.0,First Owner,Manual,,28.4,1248.0,74.02,,6.5,Maruti,Swift
2019.0,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,21.79,998.0,67.05,,4.75,Maruti,Wagon
2014.0,Third Party insurance,Diesel,5.0,90000.0,Second Owner,Manual,,20.45,1461.0,83.8,,3.2,Nissan,Terrano
2015.0,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,18.9,1197.0,82.0,,3.7,Hyundai,Grand
2009.0,Third Party insurance,Petrol,5.0,90000.0,Second Owner,Manual,,18.9,1061.0,67.0,,1.1,Maruti,Wagon
2020.0,Third Party insurance,Diesel,5.0,60000.0,Second Owner,Manual,,24.4,1499.0,98.96,,5.5,Ford,Figo
2015.0,Third Party insurance,Diesel,5.0,90000.0,Second Owner,Manual,,27.3,1498.0,98.6,,3.9,Honda,Jazz
2017.0,Third Party insurance,Petrol,5.0,20000.0,Second Owner,Manual,,19.81,1086.0,68.05,,2.5,Hyundai,i10
2013.0,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,22.74,796.0,47.3,,2.0,Maruti,Alto
2022.0,Third Party insurance,Petrol,5.0,10000.0,First Owner,Manual,,22.41,1197.0,88.5,,7.25,Maruti,Swift
2017.0,Third Party insurance,Diesel,5.0,110000.0,First Owner,Manual,,27.3,1498.0,98.6,,4.5,Honda,Jazz
2017.0,Third Party insurance,Diesel,5.0,120000.0,First Owner,Manual,,25.6,1498.0,97.9,,7.5,Honda,City
2011.0,Third Party insurance,Diesel,5.0,70000.0,Third Owner,Manual,,23.59,1364.0,,,2.15,Toyota,Etios
2013.0,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,22.74,796.0,47.3,,2.06,Maruti,Alto
2015.0,Third Party insurance,Diesel,7.0,120000.0,First Owner,Manual,,16.0,2179.0,140.0,,5.5,Mahindra,XUV500
2012.0,Third Party insurance,CNG,5.0,150000.0,First Owner,Manual,,26.2,998.0,58.2,,2.5,Maruti,Wagon
2013.0,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,22.74,796.0,47.3,,2.1,Maruti,Alto
2011.0,Third Party insurance,Petrol,5.0,70000.0,Second Owner,Manual,,17.6,1496.0,,,2.5,Toyota,Etios
2016.0,Third Party insurance,Petrol,5.0,60000.0,Second Owner,Manual,,25.17,799.0,53.3,,1.85,Renault,KWID
2014.0,Third Party insurance,Petrol,5.0,70000.0,Third Owner,Manual,,18.9,1197.0,82.0,,3.0,Hyundai,Grand
2013.0,Third Party insurance,Diesel,5.0,100000.0,Second Owner,Manual,,24.0,1120.0,70.0,,2.5,Hyundai,Grand
2012.0,Third Party insurance,Petrol,5.0,120000.0,Second Owner,Manual,,15.5,1586.0,103.3,,1.9,Maruti,SX4
2019.0,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,21.21,1197.0,81.8,,6.5,Maruti,Swift
2013.0,Third Party insurance,Diesel,8.0,80000.0,First Owner,Manual,,15.4,2179.0,307.0,,5.0,Mahindra,Scorpio
2013.0,Third Party insurance,Diesel,5.0,120000.0,First Owner,Manual,,25.8,1498.0,98.6,,1.9,Honda,Amaze
2019.0,Third Party insurance,Petrol,5.0,80000.0,Second Owner,Manual,,21.4,1197.0,83.1,,5.7,Maruti,Baleno
2014.0,Third Party insurance,Diesel,5.0,80000.0,Second Owner,Manual,,23.4,1248.0,74.0,,3.5,Maruti,Swift
2014.0,Third Party insurance,Diesel,5.0,120000.0,Fourth & Above Owner,Manual,,26.0,1498.0,98.6,,3.8,Honda,City
2019.0,Third Party insurance,Diesel,5.0,100000.0,First Owner,Manual,,24.3,1248.0,88.5,,7.8,Maruti,Vitara
2018.0,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,25.17,799.0,53.3,,2.4,Renault,KWID
2021.0,Third Party insurance,Petrol,5.0,10000.0,First Owner,Manual,,17.33,1199.0,118.35,,8.4,Tata,Nexon
2013.0,Third Party insurance,Diesel,5.0,100000.0,Second Owner,Manual,,22.7,1498.0,89.84,,2.5,Ford,Ecosport
2014.0,Third Party insurance,Diesel,5.0,100000.0,Second Owner,Manual,,25.2,1248.0,74.0,,4.0,Maruti,Swift
2009.0,Third Party insurance,Petrol,5.0,80000.0,First Owner,Manual,,18.9,1061.0,67.0,,1.5,Maruti,Wagon
2009.0,Third Party insurance,Diesel,5.0,70000.0,Second Owner,Manual,,18.0,1248.0,307.0,,1.0,Tata,Indica
2020.0,Third Party insurance,Diesel,7.0,50000.0,First Owner,Manual,,15.1,2179.0,152.87,,12.75,Mahindra,XUV500
2015.0,Third Party insurance,Petrol,7.0,30000.0,Second Owner,Manual,,19.44,1198.0,67.0,,2.7,Datsun,GO
2012.0,Third Party insurance,Diesel,5.0,70000.0,Second Owner,Manual,,25.44,936.0,57.6,,2.2,Chevrolet,Beat
2017.0,Third Party insurance,Diesel,5.0,50000.0,First Owner,Manual,,25.83,1498.0,99.0,,6.0,Ford,Aspire
2016.0,Third Party insurance,Diesel,7.0,50000.0,First Owner,Manual,,16.0,2179.0,140.0,,9.0,Mahindra,XUV500
2019.0,Third Party insurance,Petrol,5.0,20000.0,First Owner,Manual,,20.52,1197.0,81.8,,4.95,Maruti,Wagon
2022.0,Third Party insurance,Petrol,5.0,60000.0,First Owner,Automatic,,16.5,1197.0,108.62,,9.8,Mahindra,XUV300
2019.0,Third Party insurance,Petrol,5.0,20000.0,First Owner,Automatic,,16.2,1353.0,138.0,,13.75,Kia,Seltos
2015.0,Third Party insurance,Petrol,5.0,40000.0,First Owner,Manual,,20.51,998.0,67.04,,3.4,Maruti,Wagon
2020.0,Third Party insurance,Petrol,5.0,40000.0,Second Owner,Automatic,,13.96,1451.0,141.0,,13.0,MG,Hector
2019.0,Third Party insurance,Petrol,5.0,70000.0,First Owner,Manual,,17.0,1198.0,108.5,,6.0,Tata,Nexon
2012.0,Third Party insurance,Petrol,5.0,60000.0,First Owner,Manual,,19.4,1198.0,86.8,,3.0,Honda,Brio
